2022-05-18 07:36:05,190 - INFO - Municipio: 'Alatoz'
2022-05-18 07:36:05,192 - INFO - Reanuda el procesado de '02002'
2022-05-18 07:36:05,627 - INFO - Descargando 'current_address.osm'
2022-05-18 07:36:06,231 - INFO - Leído 'current_address.osm': 4 nodos, 0 vías, 0 relaciones
2022-05-18 07:36:06,829 - INFO - Generado '1691405XJ4219S.osm.gz': 34 nodos, 13 vías, 0 relaciones
2022-05-18 07:36:06,836 - INFO - Generado '1787002XJ4218N.osm.gz': 59 nodos, 19 vías, 0 relaciones
2022-05-18 07:36:06,849 - INFO - Generado '1788001XJ4218N.osm.gz': 104 nodos, 34 vías, 0 relaciones
2022-05-18 07:36:06,853 - INFO - Generado '1788004XJ4218N.osm.gz': 27 nodos, 8 vías, 0 relaciones
2022-05-18 07:36:06,857 - INFO - Generado '1788203XJ4218N.osm.gz': 39 nodos, 10 vías, 0 relaciones
2022-05-18 07:36:06,864 - INFO - Generado '1788801XJ4218N.osm.gz': 57 nodos, 15 vías, 0 relaciones
2022-05-18 07:36:06,869 - INFO - Generado '1788818XJ4218N.osm.gz': 51 nodos, 15 vías, 0 relaciones
2022-05-18 07:36:06,883 - INFO - Generado '1788837XJ4218N.osm.gz': 125 nodos, 35 vías, 0 relaciones
2022-05-18 07:36:06,916 - INFO - Generado '1788838XJ4218N.osm.gz': 64 nodos, 20 vías, 0 relaciones
2022-05-18 07:36:06,919 - INFO - Generado '1789003XJ4218N.osm.gz': 15 nodos, 5 vías, 0 relaciones
2022-05-18 07:36:06,927 - INFO - Generado '1789304XJ4218N.osm.gz': 71 nodos, 22 vías, 0 relaciones
2022-05-18 07:36:06,934 - INFO - Generado '1789801XJ4218N.osm.gz': 60 nodos, 16 vías, 0 relaciones
2022-05-18 07:36:06,940 - INFO - Generado '1789828XJ4218N.osm.gz': 56 nodos, 17 vías, 0 relaciones
2022-05-18 07:36:06,963 - INFO - Generado '1789839XJ4218N.osm.gz': 213 nodos, 62 vías, 0 relaciones
2022-05-18 07:36:06,969 - INFO - Generado '1790001XJ4219S.osm.gz': 49 nodos, 15 vías, 0 relaciones
2022-05-18 07:36:06,986 - INFO - Generado '1888011XJ4218N.osm.gz': 167 nodos, 45 vías, 1 relaciones
2022-05-18 07:36:06,994 - INFO - Generado '1888018XJ4218N.osm.gz': 55 nodos, 17 vías, 0 relaciones
